date,site,plate-number,variable,value
2022-07-08,svt,1,bioindicator,0
2022-07-08,svt,2,bioindicator,0
2022-07-08,svt,3,bioindicator,0
2022-07-08,mrd,1,bioindicator,0
2022-07-08,mrd,2,bioindicator,0
2022-07-08,mrd,3,bioindicator,1
2022-07-10,vnx,1,bioindicator,1
2022-07-10,vnx,2,bioindicator,0
2022-07-10,vnx,3,bioindicator,1
2022-07-10,svt,1,bioindicator,0
2022-07-10,svt,2,bioindicator,0
2022-07-10,svt,3,bioindicator,0
2022-07-10,mrd,1,bioindicator,0
2022-07-10,mrd,2,bioindicator,0
2022-07-10,mrd,3,bioindicator,0
2022-07-11,vnx,1,bioindicator,0
2022-07-11,vnx,2,bioindicator,0
2022-07-11,vnx,3,bioindicator,0
2022-07-11,vnx,4,bioindicator,0
2022-07-11,vnx,5,bioindicator,0
2022-07-11,svt,1,bioindicator,0
2022-07-11,svt,2,bioindicator,0
2022-07-11,svt,3,bioindicator,0
2022-07-11,svt,4,bioindicator,1
2022-07-11,svt,5,bioindicator,0
2022-07-11,svt,6,bioindicator,0
2022-07-11,mrd,1,bioindicator,0
2022-07-11,mrd,2,bioindicator,0
2022-07-11,mrd,3,bioindicator,0
2022-07-11,mrd,4,bioindicator,0
2022-07-11,mrd,5,bioindicator,1
2022-07-11,mrd,6,bioindicator,0
2022-07-12,vnx,1,bioindicator,0
2022-07-12,vnx,2,bioindicator,0
2022-07-12,vnx,3,bioindicator,0
2022-07-12,svt,1,bioindicator,0
2022-07-12,svt,2,bioindicator,0
2022-07-12,svt,3,bioindicator,0
2022-07-12,mrd,1,bioindicator,0
2022-07-12,mrd,2,bioindicator,0
2022-07-12,mrd,3,bioindicator,0
2022-07-14,vnx,1,bioindicator,0
2022-07-14,vnx,2,bioindicator,0
2022-07-14,vnx,3,bioindicator,0
2022-07-14,svt,1,bioindicator,0
2022-07-14,svt,2,bioindicator,0
2022-07-14,svt,3,bioindicator,0
2022-07-14,mrd,1,bioindicator,0
2022-07-14,mrd,2,bioindicator,0
2022-07-14,mrd,3,bioindicator,0
2022-07-18,vnx,1,bioindicator,0
2022-07-18,vnx,2,bioindicator,nd
2022-07-18,vnx,3,bioindicator,nd
2022-07-18,vnx,4,bioindicator,0
2022-07-18,vnx,5,bioindicator,0
2022-07-18,vnx,6,bioindicator,nd
2022-07-18,svt,1,bioindicator,0
2022-07-18,svt,2,bioindicator,1
2022-07-18,svt,3,bioindicator,0
2022-07-18,svt,4,bioindicator,2
2022-07-18,svt,5,bioindicator,3
2022-07-18,svt,6,bioindicator,0
2022-07-18,mrd,1,bioindicator,2
2022-07-18,mrd,2,bioindicator,0
2022-07-18,mrd,3,bioindicator,0
2022-07-18,mrd,4,bioindicator,0
2022-07-18,mrd,5,bioindicator,0
2022-07-18,mrd,6,bioindicator,0
2022-07-25,vnx,1,bioindicator,0
2022-07-25,vnx,2,bioindicator,0
2022-07-25,vnx,3,bioindicator,0
2022-07-25,vnx,4,bioindicator,1
2022-07-25,vnx,5,bioindicator,0
2022-07-25,vnx,6,bioindicator,0
2022-07-25,svt,1,bioindicator,1
2022-07-25,svt,2,bioindicator,0
2022-07-25,svt,3,bioindicator,0
2022-07-25,svt,4,bioindicator,0
2022-07-25,svt,5,bioindicator,1
2022-07-25,svt,6,bioindicator,0
2022-07-25,mrd,1,bioindicator,1
2022-07-25,mrd,2,bioindicator,0
2022-07-25,mrd,3,bioindicator,0
2022-07-25,mrd,4,bioindicator,1
2022-07-25,mrd,5,bioindicator,0
2022-07-25,mrd,6,bioindicator,0
2022-08-01,mrd,4,bioindicator,0
2022-08-01,svt,5,bioindicator,0
2022-08-01,svt,6,bioindicator,0
2022-08-01,svt,3,bioindicator,0
2022-08-01,svt,4,bioindicator,0
2022-08-01,svt,1,bioindicator,0
2022-08-01,svt,2,bioindicator,0
2022-08-01,vnx,1,bioindicator,0
2022-08-01,vnx,2,bioindicator,0
2022-08-01,vnx,3,bioindicator,0
2022-08-01,vnx,4,bioindicator,0
2022-08-01,vnx,5,bioindicator,0
2022-08-01,vnx,6,bioindicator,0
2022-08-01,mrd,5,bioindicator,0
2022-08-01,mrd,6,bioindicator,0
2022-08-01,mrd,3,bioindicator,0
2022-08-01,mrd,4,bioindicator,0
2022-08-01,mrd,1,bioindicator,0
2022-08-01,mrd,2,bioindicator,0
2022-09-12,vnx,1,bioindicator,0
2022-09-12,vnx,2,bioindicator,0
2022-09-12,vnx,3,bioindicator,0
2022-09-12,vnx,4,bioindicator,0
2022-09-12,vnx,5,bioindicator,1
2022-09-12,vnx,6,bioindicator,0
2022-09-12,svt,1,bioindicator,0
2022-09-12,svt,2,bioindicator,0
2022-09-12,svt,3,bioindicator,0
2022-09-12,svt,4,bioindicator,0
2022-09-12,svt,5,bioindicator,0
2022-09-12,svt,6,bioindicator,0
2022-09-12,mrd,1,bioindicator,0
2022-09-12,mrd,2,bioindicator,0
2022-09-12,mrd,3,bioindicator,0
2022-09-12,mrd,4,bioindicator,0
2022-09-12,mrd,5,bioindicator,0
2022-09-12,mrd,6,bioindicator,0
2022-07-04,pform05,5,coliform,1
2022-07-04,pform05,5,coliform,2
2022-07-04,pform05,5,coliform,0
2022-07-04,pform05,5,coliform,1
2022-07-04,pform05,5,coliform,0
2022-07-04,pfrom05,5,coliform,0
2022-07-11,pform05,5,coliform,0
2022-07-11,pform05,5,coliform,0
2022-07-11,pform05,5,coliform,0
2022-07-11,pform05,5,coliform,0
2022-07-11,pform05,5,coliform,0
2022-07-11,pfrom05,5,coliform,0
2022-07-18,pform05,5,coliform,0
2022-07-18,pform05,5,coliform,0
2022-07-18,pform05,5,coliform,nd
2022-07-18,pform05,5,coliform,0
2022-07-18,pform05,5,coliform,0
2022-07-18,pfrom05,5,coliform,0
2022-07-25,pform05,5,coliform,12
2022-07-25,pform05,5,coliform,2
2022-07-25,pform05,5,coliform,7
2022-07-25,pform05,5,coliform,15
2022-07-25,pform05,5,coliform,6
2022-07-25,pfrom05,5,coliform,7
2022-08-03,pform05,5,coliform,8
2022-08-03,pform05,5,coliform,9
2022-08-03,pform05,5,coliform,9
2022-08-03,pform05,5,coliform,14
2022-08-03,pform05,5,coliform,16
2022-08-03,pfrom05,5,coliform,11
2022-09-12,pform05,5,coliform,0
2022-09-12,pform05,5,coliform,0
2022-09-12,pform05,5,coliform,0
2022-09-12,pform05,5,coliform,0
2022-09-12,pform05,5,coliform,0
2022-09-12,pform05,5,coliform,0
2022-09-12,pform5,5,coliform,19
2022-09-12,pform5,5,coliform,7
2022-09-12,pform5,5,coliform,12
2022-09-12,pform5,5,coliform,36
2022-09-12,pform5,5,coliform,25
2022-09-12,pform5,5,coliform,26
2022-07-18,Clarens ,1,coliform,58
2022-07-18,Clarens ,2,coliform,84
2022-07-18,Clarens ,3,coliform,65
2022-08-01,Clarens ,1,coliform,20
2022-08-01,Clarens ,2,coliform,29
2022-08-01,Clarens ,3,coliform,23
2022-08-01,Clarens ,4,coliform,15
2022-08-01,Clarens ,5,coliform,9
2022-06-13,svt,2,coliform,5
2022-06-13,svt,3,coliform,4
2022-06-13,svt,4,coliform,5
2022-06-13,svt,5,coliform,4
2022-06-13,svt,6,coliform,8
2022-06-13,vnx,1,coliform,12
2022-06-13,vnx,2,coliform,13
2022-06-13,vnx,3,coliform,10
2022-06-13,vnx,4,coliform,5
2022-06-13,vnx,5,coliform,6
2022-06-13,vnx,6,coliform,12
2022-06-20,vnx,1,coliform,35
2022-06-20,vnx,2,coliform,51
2022-06-20,vnx,3,coliform,45
2022-06-20,vnx,4,coliform,35
2022-06-20,vnx,5,coliform,55
2022-06-20,svt,1,coliform,15
2022-06-20,svt,2,coliform,28
2022-06-20,svt,3,coliform,37
2022-06-20,svt,4,coliform,25
2022-06-20,svt,5,coliform,21
2022-06-20,svt,6,coliform,31
2022-06-20,mrd,1,coliform,27
2022-06-20,mrd,2,coliform,35
2022-06-20,mrd,3,coliform,44
2022-06-20,mrd,4,coliform,24
2022-06-20,mrd,5,coliform,49
2022-06-20,mrd,6,coliform,32
2022-06-27,vnx,1,coliform,41
2022-06-27,vnx,2,coliform,39
2022-06-27,vnx,3,coliform,18
2022-06-27,vnx,4,coliform,32
2022-06-27,vnx,5,coliform,31
2022-06-27,svt,1,coliform,40
2022-06-27,svt,2,coliform,55
2022-06-27,svt,3,coliform,58
2022-06-27,svt,4,coliform,41
2022-06-27,svt,5,coliform,56
2022-06-27,svt,6,coliform,37
2022-06-27,mrd,1,coliform,79
2022-06-27,mrd,2,coliform,84
2022-06-27,mrd,3,coliform,64
2022-06-27,mrd,4,coliform,49
2022-06-27,mrd,5,coliform,61
2022-06-27,mrd,6,coliform,65
2022-07-02,vnx,1,coliform,34
2022-07-02,vnx,2,coliform,43
2022-07-02,vnx,3,coliform,49
2022-07-02,vnx,4,coliform,39
2022-07-02,vnx,5,coliform,41
2022-07-02,svt,1,coliform,22
2022-07-02,svt,2,coliform,23
2022-07-02,svt,3,coliform,35
2022-07-02,svt,4,coliform,48
2022-07-02,svt,5,coliform,54
2022-07-02,svt,6,coliform,35
2022-07-02,mrd,1,coliform,10
2022-07-02,mrd,2,coliform,9
2022-07-02,mrd,3,coliform,11
2022-07-02,mrd,4,coliform,12
2022-07-02,mrd,5,coliform,10
2022-07-02,mrd,6,coliform,12
2022-07-04,vnx,1,coliform,13
2022-07-04,vnx,2,coliform,29
2022-07-04,vnx,3,coliform,34
2022-07-04,vnx,4,coliform,23
2022-07-04,vnx,5,coliform,57
2022-07-04,svt,1,coliform,134
2022-07-04,svt,2,coliform,214
2022-07-04,svt,3,coliform,145
2022-07-04,svt,4,coliform,165
2022-07-04,svt,5,coliform,144
2022-07-04,svt,6,coliform,142
2022-07-04,mrd,1,coliform,51
2022-07-04,mrd,2,coliform,36
2022-07-04,mrd,3,coliform,13
2022-07-04,mrd,4,coliform,29
2022-07-04,mrd,5,coliform,50
2022-07-04,mrd,6,coliform,43
2022-07-06,vnx,1,coliform,20
2022-07-06,vnx,2,coliform,11
2022-07-06,vnx,3,coliform,22
2022-07-06,svt,1,coliform,20
2022-07-06,svt,2,coliform,21
2022-07-06,svt,3,coliform,28
2022-07-06,mrd,1,coliform,62
2022-07-06,mrd,2,coliform,42
2022-07-06,mrd,3,coliform,56
2022-07-08,vnx,1,coliform,32
2022-07-08,vnx,2,coliform,53
2022-07-08,vnx,3,coliform,51
2022-07-08,svt,1,coliform,64
2022-07-08,svt,2,coliform,52
2022-07-08,svt,3,coliform,20
2022-07-08,mrd,1,coliform,0
2022-07-08,mrd,2,coliform,38
2022-07-08,mrd,3,coliform,32
2022-07-10,vnx,1,coliform,33
2022-07-10,vnx,2,coliform,21
2022-07-10,vnx,3,coliform,37
2022-07-10,svt,1,coliform,54
2022-07-10,svt,2,coliform,33
2022-07-10,svt,3,coliform,60
2022-07-10,mrd,1,coliform,49
2022-07-10,mrd,2,coliform,50
2022-07-10,mrd,3,coliform,61
2022-07-11,vnx,1,coliform,33
2022-07-11,vnx,2,coliform,23
2022-07-11,vnx,3,coliform,47
2022-07-11,vnx,4,coliform,40
2022-07-11,vnx,5,coliform,34
2022-07-11,svt,1,coliform,44
2022-07-11,svt,2,coliform,31
2022-07-11,svt,3,coliform,32
2022-07-11,svt,4,coliform,48
2022-07-11,svt,5,coliform,53
2022-07-11,svt,6,coliform,57
2022-07-11,mrd,1,coliform,44
2022-07-11,mrd,2,coliform,72
2022-07-11,mrd,3,coliform,36
2022-07-11,mrd,4,coliform,46
2022-07-11,mrd,5,coliform,36
2022-07-11,mrd,6,coliform,21
2022-07-12,vnx,1,coliform,14
2022-07-12,vnx,2,coliform,4
2022-07-12,vnx,3,coliform,13
2022-07-12,svt,1,coliform,20
2022-07-12,svt,2,coliform,16
2022-07-12,svt,3,coliform,26
2022-07-12,mrd,1,coliform,21
2022-07-12,mrd,2,coliform,27
2022-07-12,mrd,3,coliform,20
2022-07-14,vnx,1,coliform,14
2022-07-14,vnx,2,coliform,9
2022-07-14,vnx,3,coliform,3
2022-07-14,svt,1,coliform,23
2022-07-14,svt,2,coliform,17
2022-07-14,svt,3,coliform,6
2022-07-14,mrd,1,coliform,8
2022-07-14,mrd,2,coliform,29
2022-07-14,mrd,3,coliform,8
2022-07-18,vnx,1,coliform,28
2022-07-18,vnx,2,coliform,nd
2022-07-18,vnx,3,coliform,nd
2022-07-18,vnx,4,coliform,44
2022-07-18,vnx,5,coliform,31
2022-07-18,vnx,6,coliform,nd
2022-07-18,svt,1,coliform,19
2022-07-18,svt,2,coliform,14
2022-07-18,svt,3,coliform,17
2022-07-18,svt,4,coliform,29
2022-07-18,svt,5,coliform,34
2022-07-18,svt,6,coliform,39
2022-07-18,mrd,1,coliform,102
2022-07-18,mrd,2,coliform,38
2022-07-18,mrd,3,coliform,100
2022-07-18,mrd,4,coliform,51
2022-07-18,mrd,5,coliform,76
2022-07-18,mrd,6,coliform,55
2022-07-25,vnx,1,coliform,37
2022-07-25,vnx,2,coliform,40
2022-07-25,vnx,3,coliform,56
2022-07-25,vnx,4,coliform,49
2022-07-25,vnx,5,coliform,42
2022-07-25,vnx,6,coliform,27
2022-07-25,svt,1,coliform,59
2022-07-25,svt,2,coliform,47
2022-07-25,svt,3,coliform,56
2022-07-25,svt,4,coliform,34
2022-07-25,svt,5,coliform,41
2022-07-25,svt,6,coliform,79
2022-07-25,mrd,1,coliform,35
2022-07-25,mrd,2,coliform,52
2022-07-25,mrd,3,coliform,70
2022-07-25,mrd,4,coliform,43
2022-07-25,mrd,5,coliform,36
2022-07-25,mrd,6,coliform,58
2022-08-01,mrd,4,coliform,12
2022-08-01,svt,5,coliform,28
2022-08-01,svt,6,coliform,23
2022-08-01,svt,3,coliform,8
2022-08-01,svt,4,coliform,21
2022-08-01,svt,1,coliform,15
2022-08-01,svt,2,coliform,18
2022-08-01,vnx,1,coliform,18
2022-08-01,vnx,2,coliform,20
2022-08-01,vnx,3,coliform,37
2022-08-01,vnx,4,coliform,45
2022-08-01,vnx,5,coliform,29
2022-08-01,vnx,6,coliform,34
2022-08-01,mrd,5,coliform,17
2022-08-01,mrd,6,coliform,17
2022-08-01,mrd,3,coliform,3
2022-08-01,mrd,4,coliform,16
2022-08-01,mrd,1,coliform,17
2022-08-01,mrd,2,coliform,12
2022-09-12,vnx,1,coliform,22
2022-09-12,vnx,2,coliform,24
2022-09-12,vnx,3,coliform,23
2022-09-12,vnx,4,coliform,26
2022-09-12,vnx,5,coliform,25
2022-09-12,vnx,6,coliform,17
2022-09-12,svt,1,coliform,28
2022-09-12,svt,2,coliform,24
2022-09-12,svt,3,coliform,17
2022-09-12,svt,4,coliform,31
2022-09-12,svt,5,coliform,21
2022-09-12,svt,6,coliform,22
2022-09-12,mrd,1,coliform,13
2022-09-12,mrd,2,coliform,20
2022-09-12,mrd,3,coliform,4
2022-09-12,mrd,4,coliform,12
2022-09-12,mrd,5,coliform,11
2022-09-12,mrd,6,coliform,3
2022-07-04,pform05,5,turquoise,0
2022-07-04,pform05,5,turquoise,0
2022-07-04,pform05,5,turquoise,0
2022-07-04,pform05,5,turquoise,0
2022-07-04,pform05,5,turquoise,0
2022-07-04,pfrom05,5,turquoise,0
2022-07-11,pform05,5,turquoise,0
2022-07-11,pform05,5,turquoise,0
2022-07-11,pform05,5,turquoise,0
2022-07-11,pform05,5,turquoise,0
2022-07-11,pform05,5,turquoise,0
2022-07-11,pfrom05,5,turquoise,0
2022-07-18,pform05,5,turquoise,0
2022-07-18,pform05,5,turquoise,0
2022-07-18,pform05,5,turquoise,nd
2022-07-18,pform05,5,turquoise,0
2022-07-18,pform05,5,turquoise,0
2022-07-18,pfrom05,5,turquoise,0
2022-07-25,pform05,5,turquoise,0
2022-07-25,pform05,5,turquoise,0
2022-07-25,pform05,5,turquoise,0
2022-07-25,pform05,5,turquoise,0
2022-07-25,pform05,5,turquoise,2
2022-07-25,pfrom05,5,turquoise,0
2022-08-03,pform05,5,turquoise,0
2022-08-03,pform05,5,turquoise,0
2022-08-03,pform05,5,turquoise,0
2022-08-03,pform05,5,turquoise,0
2022-08-03,pform05,5,turquoise,0
2022-08-03,pfrom05,5,turquoise,0
2022-09-12,pform05,5,turquoise,0
2022-09-12,pform05,5,turquoise,0
2022-09-12,pform05,5,turquoise,1
2022-09-12,pform05,5,turquoise,0
2022-09-12,pform05,5,turquoise,0
2022-09-12,pform05,5,turquoise,0
2022-09-12,pform5,5,turquoise,0
2022-09-12,pform5,5,turquoise,0
2022-09-12,pform5,5,turquoise,0
2022-09-12,pform5,5,turquoise,0
2022-09-12,pform5,5,turquoise,0
2022-09-12,pform5,5,turquoise,0
2022-07-18,Clarens ,1,turquoise,1
2022-07-18,Clarens ,2,turquoise,2
2022-07-18,Clarens ,3,turquoise,0
2022-08-01,Clarens ,1,turquoise,4
2022-08-01,Clarens ,2,turquoise,1
2022-08-01,Clarens ,3,turquoise,3
2022-08-01,Clarens ,4,turquoise,2
2022-08-01,Clarens ,5,turquoise,2
2022-06-13,svt,2,turquoise,0
2022-06-13,svt,3,turquoise,4
2022-06-13,svt,4,turquoise,5
2022-06-13,svt,5,turquoise,6
2022-06-13,svt,6,turquoise,2
2022-06-13,vnx,1,turquoise,2
2022-06-13,vnx,2,turquoise,6
2022-06-13,vnx,3,turquoise,1
2022-06-13,vnx,4,turquoise,1
2022-06-13,vnx,5,turquoise,1
2022-06-13,vnx,6,turquoise,1
2022-06-20,vnx,1,turquoise,0
2022-06-20,vnx,2,turquoise,24
2022-06-20,vnx,3,turquoise,18
2022-06-20,vnx,4,turquoise,8
2022-06-20,vnx,5,turquoise,4
2022-06-20,svt,1,turquoise,0
2022-06-20,svt,2,turquoise,1
2022-06-20,svt,3,turquoise,3
2022-06-20,svt,4,turquoise,2
2022-06-20,svt,5,turquoise,0
2022-06-20,svt,6,turquoise,9
2022-06-20,mrd,1,turquoise,0
2022-06-20,mrd,2,turquoise,4
2022-06-20,mrd,3,turquoise,46
2022-06-20,mrd,4,turquoise,2
2022-06-20,mrd,5,turquoise,4
2022-06-20,mrd,6,turquoise,2
2022-06-27,vnx,1,turquoise,8
2022-06-27,vnx,2,turquoise,3
2022-06-27,vnx,3,turquoise,0
2022-06-27,vnx,4,turquoise,0
2022-06-27,vnx,5,turquoise,4
2022-06-27,svt,1,turquoise,2
2022-06-27,svt,2,turquoise,2
2022-06-27,svt,3,turquoise,45
2022-06-27,svt,4,turquoise,28
2022-06-27,svt,5,turquoise,4
2022-06-27,svt,6,turquoise,41
2022-06-27,mrd,1,turquoise,52
2022-06-27,mrd,2,turquoise,7
2022-06-27,mrd,3,turquoise,21
2022-06-27,mrd,4,turquoise,6
2022-06-27,mrd,5,turquoise,3
2022-06-27,mrd,6,turquoise,8
2022-07-02,vnx,1,turquoise,5
2022-07-02,vnx,2,turquoise,11
2022-07-02,vnx,3,turquoise,9
2022-07-02,vnx,4,turquoise,18
2022-07-02,vnx,5,turquoise,13
2022-07-02,svt,1,turquoise,9
2022-07-02,svt,2,turquoise,3
2022-07-02,svt,3,turquoise,0
2022-07-02,svt,4,turquoise,4
2022-07-02,svt,5,turquoise,31
2022-07-02,svt,6,turquoise,29
2022-07-02,mrd,1,turquoise,5
2022-07-02,mrd,2,turquoise,5
2022-07-02,mrd,3,turquoise,8
2022-07-02,mrd,4,turquoise,18
2022-07-02,mrd,5,turquoise,8
2022-07-02,mrd,6,turquoise,8
2022-07-04,vnx,1,turquoise,0
2022-07-04,vnx,2,turquoise,5
2022-07-04,vnx,3,turquoise,24
2022-07-04,vnx,4,turquoise,4
2022-07-04,vnx,5,turquoise,28
2022-07-04,svt,1,turquoise,2
2022-07-04,svt,2,turquoise,74
2022-07-04,svt,3,turquoise,68
2022-07-04,svt,4,turquoise,95
2022-07-04,svt,5,turquoise,29
2022-07-04,svt,6,turquoise,20
2022-07-04,mrd,1,turquoise,1
2022-07-04,mrd,2,turquoise,2
2022-07-04,mrd,3,turquoise,10
2022-07-04,mrd,4,turquoise,7
2022-07-04,mrd,5,turquoise,2
2022-07-04,mrd,6,turquoise,34
2022-07-06,vnx,1,turquoise,0
2022-07-06,vnx,2,turquoise,9
2022-07-06,vnx,3,turquoise,3
2022-07-06,svt,1,turquoise,5
2022-07-06,svt,2,turquoise,18
2022-07-06,svt,3,turquoise,0
2022-07-06,mrd,1,turquoise,2
2022-07-06,mrd,2,turquoise,22
2022-07-06,mrd,3,turquoise,5
2022-07-08,vnx,1,turquoise,1
2022-07-08,vnx,2,turquoise,35
2022-07-08,vnx,3,turquoise,1
2022-07-08,svt,1,turquoise,1
2022-07-08,svt,2,turquoise,18
2022-07-08,svt,3,turquoise,0
2022-07-08,mrd,1,turquoise,0
2022-07-08,mrd,2,turquoise,2
2022-07-08,mrd,3,turquoise,7
2022-07-10,vnx,1,turquoise,1
2022-07-10,vnx,2,turquoise,6
2022-07-10,vnx,3,turquoise,3
2022-07-10,svt,1,turquoise,1
2022-07-10,svt,2,turquoise,5
2022-07-10,svt,3,turquoise,5
2022-07-10,mrd,1,turquoise,1
2022-07-10,mrd,2,turquoise,11
2022-07-10,mrd,3,turquoise,1
2022-07-11,vnx,1,turquoise,2
2022-07-11,vnx,2,turquoise,5
2022-07-11,vnx,3,turquoise,2
2022-07-11,vnx,4,turquoise,24
2022-07-11,vnx,5,turquoise,13
2022-07-11,svt,1,turquoise,0
2022-07-11,svt,2,turquoise,0
2022-07-11,svt,3,turquoise,19
2022-07-11,svt,4,turquoise,4
2022-07-11,svt,5,turquoise,2
2022-07-11,svt,6,turquoise,15
2022-07-11,mrd,1,turquoise,3
2022-07-11,mrd,2,turquoise,2
2022-07-11,mrd,3,turquoise,4
2022-07-11,mrd,4,turquoise,32
2022-07-11,mrd,5,turquoise,9
2022-07-11,mrd,6,turquoise,10
2022-07-12,vnx,1,turquoise,1
2022-07-12,vnx,2,turquoise,2
